"county","cousub20","CountyName","MCDName","pop20","afact2","afact"
"County code","County subdivision (2020)","County name","County subdivision / MCD name","Total population (2020 Census)","cousub20-to-county allocation factor","county-to-cousub20 allocation factor"
"36001","01000","Albany NY","Albany city, Albany NY",99224,1,0.3151 
"36001","06211","Albany NY","Berne town, Albany NY",2689,1,0.0085 
"36001","06354","Albany NY","Bethlehem town, Albany NY",35034,1,0.1113 
"36001","16694","Albany NY","Coeymans town, Albany NY",7256,1,0.023 
"36001","16749","Albany NY","Cohoes city, Albany NY",18147,1,0.0576 
"36001","17343","Albany NY","Colonie town, Albany NY",85590,1,0.2718 
"36001","30532","Albany NY","Green Island town, Albany NY",2934,1,0.0093 
"36001","31104","Albany NY","Guilderland town, Albany NY",36848,1,0.117 
"36001","40002","Albany NY","Knox town, Albany NY",2635,1,0.0084 
"36001","50672","Albany NY","New Scotland town, Albany NY",9096,1,0.0289 
"36001","61181","Albany NY","Rensselaerville town, Albany NY",1826,1,0.0058 
"36001","78674","Albany NY","Watervliet city, Albany NY",10375,1,0.033 
"36001","79851","Albany NY","Westerlo town, Albany NY",3194,1,0.0101 
"36003","01209","Allegany NY","Alfred town, Allegany NY",5157,1,0.111 
"36003","01319","Allegany NY","Allen town, Allegany NY",494,1,0.0106 
"36003","01429","Allegany NY","Alma town, Allegany NY",781,1,0.0168 
"36003","01451","Allegany NY","Almond town, Allegany NY",1512,1,0.0325 
"36003","02011","Allegany NY","Amity town, Allegany NY",2171,1,0.0467 
"36003","02154","Allegany NY","Andover town, Allegany NY",1615,1,0.0348 
"36003","02187","Allegany NY","Angelica town, Allegany NY",1272,1,0.0274 
"36003","05573","Allegany NY","Belfast town, Allegany NY",1637,1,0.0352 
"36003","06717","Allegany NY","Birdsall town, Allegany NY",190,1,0.0041 
"36003","07201","Allegany NY","Bolivar town, Allegany NY",2029,1,0.0437 
"36003","11253","Allegany NY","Burns town, Allegany NY",1036,1,0.0223 
"36003","12243","Allegany NY","Caneadea town, Allegany NY",2294,1,0.0494 
"36003","13475","Allegany NY","Centerville town, Allegany NY",929,1,0.02 
"36003","15990","Allegany NY","Clarksville town, Allegany NY",976,1,0.021 
"36003","19367","Allegany NY","Cuba town, Allegany NY",3126,1,0.0673 
"36003","27705","Allegany NY","Friendship town, Allegany NY",1944,1,0.0418 
"36003","28563","Allegany NY","Genesee town, Allegany NY",1633,1,0.0352 
"36003","29905","Allegany NY","Granger town, Allegany NY",519,1,0.0112 
